,title,rating,pros,cons
163,"""Citi Review""",3.0,Nice people to work with.,Long hours and no real commitment to it's employees.
164,"""Fraud Specialist""",3.0,"Good Benefits , Cafe In Buliding, Good Environment","No Understandings of nothing, THEY FIRED ME FOR SOMETHING I COULDNT CONTROLL"
165,"""HR Professional""",3.0,"Excellent Global Brand Leading US company with world class platforms, policies and practices",The one size fits all approach does not work.  Example Puerto Rico is the US do not force it into a Latam model
166,"""Keep yourself busy""",4.0,"Global brand, vast product range, diversity, global presence","Complex organizational structure, not a pay master"
167,"""Toxic Workplace""",1.0,It would be hard to think of anything positive that Citi offers that shouldn't be offered by default by any multi-trillion dollar company.,"They will work their workers to the bone. Profit reigns above all, even in the most menial and unimportant ways. Workers are mentally abused, manipulated, gaslighted, and worse. You will never be told the truth, even if the truth would actually be better for the company."
168,"""Ugh""",1.0,none that could be easily remembered,same old same old retail branch game
169,"""Great work culture""",4.0,"Great team and environment.
Supportive attitude from the management.",Lack of clarity on business
170,"""Great work culture""",4.0,"Great team and environment.
Supportive attitude from the management.",Lack of clarity on business
171,"""Amazing entry level role""",4.0,Loving my team at the 388G office.,Not enough training for entry levels hires
172,"""ok company""",3.0,"nice culture, nice people. decent pay. can work from home",too many contractors. no room for advancement
173,"""I enjoyed working at Citi""",4.0,"Friendly colleagues, good work ethics.","Complex organization structure, ineffective cross-business unit communication."
174,"""Good company""",5.0,Good team and good company,None. It is a bank.
175,"""KYC AML Compliance Outreach Specialist""",5.0,"Culture, clinic, cafe, food trucks, celebrations","Overtime, weekends, late hours, not flexible"
176,"""Citi AML analyst""",2.0,Exposure to the industry with a month of on the job training. Cafeteria had a variety of food options.,Did not appreciate the monotony of the work load.
177,"""Vice President  - Credit risk""",4.0,Good work culture and freedom to implement thoughts,Wilmington location was not good
178,"""Great Benefits- but department closed""",3.0,"Great health, dental, vision insurance, Good 401k match. Great scheduled Mon thru Fri 8 to 430",Not all management is created the same. It seemed if you weren't breaking your back working 60 hrs a week as a salaried manager you weren't celebrated for your accomplishments. A thankless job the last 2 years as operations were winding down. Sr leaders wanted management to drive moral boosting while things were winding down but didn't do the same. Undervalued and udner appreciated for taking on more and more with less and less.
179,"""Assistant Vice President""",5.0,"Benefits
Professional Development
Good Atmosphere to work",Work / personal life balance
180,"""Full time Investment Banking Analyst""",4.0,"Pay, location, training, colleagues, Chicago",Long hours to be expected
